id,strategy,layer_id,color_layer_id,phase_id
1,Readjusting posture,0,1,5
2,Getting Comfy,0,1,5
3,Drinking Water,0,1,5
4,Listening to Music,0,2,5
5,Pranayama (Lion's Breath),0,3,5
6,Learning,0,5,5
7,Baby Waterfall Conventions,0,8,5
8,One Pushup / One Squat,0,1,6
9,Wash face,0,1,6
10,Kirtan,0,2,6
11,Taking a Bath,0,2,6
12,Getting Some Sunshine,0,2,6
13,Somatic Meditation,0,3,6
14,Biking,0,3,6
15,Jogging,0,3,6
16,Dancing,0,3,6
17,Husband Time,0,4,6
18,Cold Shower,0,1,1
19,Clairaudient Practice,0,2,1
20,Divination,0,2,1
21,Dog Walkin Shamanism,0,2,1
22,Empathizing with Others,0,4,1
23,Metta Meditation,0,4,1
24,Dad Time,0,4,1
25,Pranayama (Wim Hof),0,5,1
26,Eating Something Tasty,0,5,1
27,Pranayama (Alternate Nostril),0,5,1
28,Yoga,0,6,1
29,Creative Writing,0,6,1
30,Making Music,0,6,1
31,Meditation Micro-Retreats,0,8,1
32,Confidence Practice,0,3,2
33,Socializing,0,4,2
34,Compassion Practice,0,4,2
35,Samatha Vipassana,0,7,2
36,Kombucha,0,7,2
37,Magick,0,8,2
38,Meditation Retreats,0,9,2
39,Eating Something Grounding,0,1,3
40,Spending Time in Crowded Places,0,4,3
41,I Belong Here Ritual,0,4,3
42,Clairsentient Practice with Loved Ones,0,4,3
43,Intense Exercise,0,5,3
44,Pranayama (4/7/8),0,5,3
45,Pranayama (Box Breathing),0,5,3
46,5-4-3-2-1 Technique,0,1,3
47,Anti-Anxiety Meds,0,7,3
48,Long Drives,0,2,4
49,Hot Beverages,0,2,4
50,Walking,0,3,4
51,Journaling,0,6,4
52,Cleaning,0,6,4
53,Wrapping in a Blanket,0,1,5
54,Eating a Warm Meal,0,1,5
55,Taking a Nap,0,1,5
56,Feeling Your Feet on the Floor,0,1,5
57,Lighting a Candle,0,2,5
58,Holding a Warm Mug,0,2,5
59,Watching the Rain,0,2,5
60,Sitting in the Dark,0,2,5
61,Gentle Stretching,0,3,5
62,Texting a Friend,0,4,5
63,Asking for Help,0,4,5
64,Receiving Comfort,0,4,5
65,Letting Yourself Cry,0,6,5
66,Self-Compassion Break,0,6,5
67,Surrendering to the Cycle,0,8,5
68,Resting in Awareness,0,9,5
69,Making the Bed,0,1,6
70,Tidying One Surface,0,1,6
71,Drinking a Smoothie,0,1,6
72,Gratitude Ritual,0,2,6
73,Tending a Plant,0,2,6
74,Spending Time Outdoors,0,2,6
75,Gentle Yoga Flow,0,3,6
76,Going for a Swim,0,3,6
77,Nature Walk,0,3,6
78,Calling a Loved One,0,4,6
79,Sharing a Meal,0,4,6
80,Planning the Week,0,5,6
81,Reintroducing Routine,0,5,6
82,Setting a Small Goal,0,5,6
83,Gardening,0,6,6
84,Cooking Something Nourishing,0,6,6
85,Reflecting on Lessons Learned,0,7,6
86,Setting an Intention,0,8,6
87,Morning Sunlight,0,1,1
88,Energizing Breakfast,0,1,1
89,Setting an Altar,0,2,1
90,Dawn Walk,0,2,1
91,Going for a Run,0,3,1
92,Strength Training,0,3,1
93,Power Posing,0,3,1
94,Reaching Out to a Mentor,0,4,1
95,Joining a Cause,0,4,1
96,Learning a New Skill,0,5,1
97,Brainstorming,0,5,1
98,Setting Ambitious Goals,0,5,1
99,Cooking a New Recipe,0,5,1
100,Painting,0,6,1
101,Singing,0,6,1
102,Reading Poetry,0,6,1
103,Mapping a Project,0,7,1
104,Flow State Practice,0,8,1
105,Savoring the Moment,0,1,2
106,Mindful Eating,0,1,2
107,Celebratory Ritual,0,2,2
108,Ecstatic Dance,0,3,2
109,Public Speaking,0,3,2
110,Athletic Challenge,0,3,2
111,Celebrating with Friends,0,4,2
112,Mentoring Someone,0,4,2
113,Sharing Joy,0,4,2
114,Sharing Your Work,0,5,2
115,Teaching What You Know,0,5,2
116,Gratitude Journaling,0,6,2
117,Equanimity Practice,0,7,2
118,Presence Practice,0,7,2
119,Non-Grasping Practice,0,8,2
120,Metta for All Beings,0,9,2
121,Drinking Herbal Tea,0,1,3
122,Putting Feet Up,0,1,3
123,Weighted Blanket,0,1,3
124,Slow Breathing,0,1,3
125,Self-Soothing Touch,0,1,3
126,Calming Music,0,2,3
127,Aromatherapy,0,2,3
128,Shaking It Out,0,3,3
129,Gentle Walk,0,3,3
130,Confiding in a Friend,0,4,3
131,Being Held,0,4,3
132,Naming the Pattern,0,5,3
133,Researching What You Feel,0,5,3
134,Worry Journaling,0,6,3
135,Expressing Feelings,0,6,3
136,Time in Nature,0,6,3
137,Observing Thoughts,0,7,3
138,Labeling Emotions,0,7,3
139,Grounding Meditation,0,7,3
140,Letting Go Meditation,0,9,3
141,Decluttering,0,1,4
142,Resting,0,1,4
143,Comfort Food,0,1,4
144,Comfort Movie,0,2,4
145,Nostalgic Music,0,2,4
146,Easy Listening,0,2,4
147,Slow Stretching,0,3,4
148,Going Outside,0,3,4
149,Low-Key Time with Friends,0,4,4
150,Asking for Support,0,4,4
151,Lowering the Bar,0,5,4
152,Breaking Tasks Down,0,5,4
153,Drawing,0,6,4
154,Self-Forgiveness,0,6,4
155,Accepting the Season,0,7,4
156,Practicing Surrender,0,8,4
